#{"t_start": 1760777147.9701302, "env_id": "None"}
r,l,t
199.645409,200,103.38781
115.35,121,103.429674
200.2,200,103.500535
205.3,200,104.100502
203.5,200,104.170143
61.35,67,104.19457
200.2,200,104.264371
200.2,200,104.333484
77.35,83,104.362762
200.2,200,104.432431
200.2,200,104.996196
47.35,53,105.014849
200.2,200,105.081665
123.391886,129,105.125661
13.391886,19,105.133193
200.2,200,105.19974
204.85,200,105.266566
200.2,200,105.875577
200.2,200,105.943244
198.68931,200,106.009585
200.2,200,106.076034
200.2,200,106.146006
200.2,200,106.738583
200.2,200,106.805142
202.25,200,106.871516
199.645409,200,106.93785
207.95,200,107.007596
209.3,200,107.617031
200.2,200,107.683475
20.391886,26,107.693102
200.2,200,107.759337
200.8,200,107.825477
199.807687,200,107.891537
19.35,25,107.90086
200.2,200,108.486878
199.840142,200,108.553255
200.2,200,108.619003
200.2,200,108.685457
202.9,200,108.751366
203.3,200,109.376799
124.35,130,109.420573
4.35,10,109.424576
128.391886,134,109.4693
200.2,200,109.537283
199.572384,200,109.613174
70.391886,76,109.641695
198.866476,200,110.217799
41.391886,47,110.234564
50.438364,56,110.255394
9.35,15,110.261078
200.2,200,110.327922
199.864484,200,110.39907
205.7,200,110.465402
127.391886,133,110.510531
200.2,200,111.08776
200.2,200,111.154418
119.35,125,111.197473
209.95,200,111.26647
199.466903,200,111.339163
198.87459,200,111.410101
205.55,200,112.008443
208.35,200,112.075008
194.391886,200,112.14048
143.743203,149,112.194295
200.156584,200,112.263213
200.34847,200,112.897416
198.858362,200,112.964089
200.2,200,113.031766
200.2,200,113.102771
200.2,200,113.173926
64.391886,70,113.20068
200.2,200,113.828091
200.2,200,113.89594
72.391886,78,113.922158
198.963843,200,113.993116
151.391886,157,114.051026
200.156584,200,114.117832
200.2,200,114.762202
60.391886,66,114.785422
200.2,200,114.854125
200.2,200,114.921252
200.2,200,114.989067
199.442562,200,115.055274
200.2,200,115.814547
200.2,200,115.882664
200.2,200,115.951053
200.2,200,116.017814
42.35,48,116.035325
200.2,200,116.101413
